"Refid","Bibliography","DOILink","AlternativeLink","PDFAvailable"
1,"E. Aguilar, L. Moreira and C. Rivera. ""Confirmation of Xylella fastidiosa infecting grapes Vitis vinifera in Costa Rica"". Tropical Plant Pathology 33 (2008): 444-448","","http://www.scielo.br/pdf/tpp/v33n6/v33n6a07.pdf","y"
2,"E. Aguilar, W. Villalobos, L. Moreira, C. M. Rodriguez, E. W. Kitajima and C. Rivera. ""First report of Xylella fastidiosa infecting citrus in Costa Rica"". Plant Disease 89 (2005): 687-687","http://dx.doi.org/10.1094/pd-89-0687b","","n"
7,"R. P. P. Almeida and A. H. Purcell. ""Patterns of Xylella fastidiosa colonization on the precibarium of sharpshooter vectors relative to transmission to plants"". Annals of the Entomological Society of America 99 (2006): 884-890","http://dx.doi.org/10.1603/0013-8746(2006)99[884:poxfco]2.0.co;2","","n"
8,"N. Amanifar, M. Taghavi, K. Izadpanah and G. Babaei. ""Isolation and pathogenicity of Xylella fastidiosa from grapevine and almond in Iran"". Phytopathologia Mediterranea 53 (2014): 318-327","http://dx.doi.org/10.14601/Phytopathol_Mediterr-12647","http://www.fupress.net/index.php/pm/article/download/12647/13975","y"
9,"E. L. Barnard, E. C. Ash, D. L. Hopkins and R. J. McGovern. ""Distribution of Xylella fastidiosa in oaks in Florida and its association with growth decline in Quercus laevis"". Plant Disease 82 (1998): 569-572","http://dx.doi.org/10.1094/pdis.1998.82.5.569","https://apsjournals.apsnet.org/doi/pdf/10.1094/PDIS.1998.82.5.569","y"
13,"B. R. Bextine and T. A. Miller. ""Comparison of whole-tissue and xylem fluid collection techniques to detect Xylella fastidiosa in grapevine and oleander"". Plant Disease 88 (2004): 600-604","http://dx.doi.org/10.1094/pdis.2004.88.6.600","https://apsjournals.apsnet.org/doi/pdf/10.1094/PDIS.2004.88.6.600","y"
15,"R. H. Brlansky, V. D. Damsteegt and J. S. Hartung. ""Transmission of the citrus variegated chlorosis bacterium Xylella fastidiosa with the sharpshooter Oncometopia nigricans"". Plant Disease 86 (2002): 1237-1239","http://dx.doi.org/10.1094/pdis.2002.86.11.1237","https://apsjournals.apsnet.org/doi/pdf/10.1094/PDIS.2002.86.11.1237","y"
16,"N. Buzkan and M. A. Walker. ""Effect of tissue on the inoculation and detection of Xylella fastidiosa in the grapevine"". Turkish Journal of Agriculture and Forestry 28 (2004): 341-347"," ","http://journals.tubitak.gov.tr/agriculture/issues/tar-04-28-5/tar-28-5-6-0312-5.pdf","y"
28,"J. E. O. de Lima, V. S. Miranda, J. S. Hartung, R. H. Brlansky, A. Coutinho, S. R. Roberto and E. F. Carlos. ""Coffee leaf scorch bacterium: Axenic culture, pathogenicity, and comparison with Xylella fastidiosa of citrus"". Plant Disease 82 (1998): 94-97","http://dx.doi.org/10.1094/pdis.1998.82.1.94","https://apsjournals.apsnet.org/doi/pdf/10.1094/PDIS.1998.82.1.94","y"
30,"K. Esau. ""Anatomic effects of the viruses of Pierce's disease and phony peach"". Hilgardia 18 (1948): 423-481","http://dx.doi.org/10.3733/hilg.v18n12p423","http://hilgardia.ucanr.edu/fileaccess.cfm?article=152293&p=MKIWCN","y"
31,"H. Feil and A. H. Purcell. ""Temperature-dependent growth and survival of Xylella fastidiosa in vitro and in potted grapevines"". Plant Disease 85 (2001): 1230-1234","http://dx.doi.org/10.1094/pdis.2001.85.12.1230","https://apsjournals.apsnet.org/doi/pdf/10.1094/PDIS.2001.85.12.1230","y"
37,"G. A. Gambetta, J. Fei, T. L. Rost and M. A. Matthews. ""Leaf scorch symptoms are not correlated with bacterial populations during Pierce's disease"". Journal of Experimental Botany 58 (2007): 4037-4046","http://dx.doi.org/10.1093/jxb/erm260","https://watermark.silverchair.com/erm260.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAdEwggHNBgkqhkiG9w0BBwagggG-MIIBugIBADCCAbMGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMCiSsqUda6Baj9823AgEQgIIBhK0g90MU1GCH7O2WFPfYh63TSqcWLxQh1NprZLCL_Fb5eWcIF_Ix6X4_faxQzDXPAleFWzMs_hIiG7qcZvZ9SZOb9CCkPhscvCQ0OE1qr9EgxRnB05h7yKPbJnFhER7f5Zw2zZ5k15QqjPb2mFHrgy6uLqnceRc2ehX-a5M25AOje_Q4MdxlebsVm_p-zCxeoY5euZYxCqnEXkwmPJoiXj_HFHqzDyNK6A22CHTw_IbFi0kEIDsnc-3suJT7inKJUyyUbqkw6RxHoBA1UJE2EfoTiqsUpLA62kTgUxp4P1Ci2b2K2ClKnlTkUYYfiDgFaCVgFL4CYv9d5IBaF2DN_vPDZENVtWriD3FbG1YTqszydLqikXDLGh4qHY7zIAd923Gym0ZMTQGGLQorfvUrp5h9qWrvxMcr_vFgEJ2oyE-rc9qvH-VS4hh2-f7xZm-VvHSH6f6uGI9iRrhrlriI4BKoEvvdN3Rmmt44AHQpQW8kl9tym9KpxlgA6batL0T0B3tOi9o","y"
42,"J. L. Harris, P. L. Di Bello, M. Lear and Y. Balci. ""Bacterial Leaf Scorch in the District of Columbia: Distribution, Host Range, and Presence of Xylella fastidiosa Among Urban Trees"". Plant Disease 98 (2014): 1611-1618","http://dx.doi.org/10.1094/pdis-02-14-0158-sr","https://apsjournals.apsnet.org/doi/pdf/10.1094/PDIS-02-14-0158-SR","y"
