topic,Refid,Bibliography,sampPoint,nSample,sampCountry,sampArea,sampY,targetSpecies,sampledMatrix,agent,anMeth,nPositive,common_name,strain,infectionMethod,chem,route,endpoint,dose
AHAW VBD,3,"A. C. Dondona, O. Aschenborn, C. Pinoni, L. Di Gialleonardo, A. Maseke, G. Bortone, A. Polci, M. Scacchia, U. Molini and F. Monaco. ""Rift Valley Fever Virus among Wild Ruminants, Etosha National Park, Namibia, 2011"". Emerging Infectious Diseases 22 (2016): 128-130",Natural habitat,200 host (animal or human),Namibia,Oshikoto,2011,,Blood serum,Rift Valley fever virus,"ELISA, Competitive ELISA (C-ELISA)",70,,,,,,,
AHAW VBD,4,"A. Bosworth, T. Ghabbari, S. Dowall, A. Varghese, W. Fares, R. Hewson, E. Zhioua, M. Chakroun, H. Tiouiri, M. Ben Jemaa, A. Znazen and A. Letaief. ""Serologic evidence of exposure to Rift Valley fever virus detected in Tunisia"". New microbes and new infections 9 (2016): 1-7",Slaughterhouse,38 host (animal or human),Tunisia,Sousse,2014,Human,Animal blood,Rift Valley fever virus,Indirect Immunofluorescence Antibody test (IFAT),2,,,,,,,
AHAW VBD,9,"G. C. Gray, B. D. Anderson, A. D. LaBeaud, J.-M. Heraud, E. M. Fevre, S. F. Andriamandimby, E. A. J. Cook, S. Dahir, W. A. de Glanville, G. L. Heil, S. U. Khan, S. Muiruri, M.-M. Olive, L. F. Thomas, H. R. Merrill, M. L. M. Merrill and J. A. Richt. ""Seroepidemiological Study of Interepidemic Rift Valley Fever Virus Infection among Persons with Intense Ruminant Exposure in Madagascar and Kenya"". American Journal of Tropical Medicine and Hygiene 93 (2015): 1364-1370",,230 host (animal or human),Kenya,Garissa,2012,Human,Blood serum,Rift Valley fever virus,IgG ELISA,36,,,,,,,
AHAW VBD,9,"G. C. Gray, B. D. Anderson, A. D. LaBeaud, J.-M. Heraud, E. M. Fevre, S. F. Andriamandimby, E. A. J. Cook, S. Dahir, W. A. de Glanville, G. L. Heil, S. U. Khan, S. Muiruri, M.-M. Olive, L. F. Thomas, H. R. Merrill, M. L. M. Merrill and J. A. Richt. ""Seroepidemiological Study of Interepidemic Rift Valley Fever Virus Infection among Persons with Intense Ruminant Exposure in Madagascar and Kenya"". American Journal of Tropical Medicine and Hygiene 93 (2015): 1364-1370",,200 host (animal or human),Kenya,Western Province,2012,Human,Blood serum,Rift Valley fever virus,IgG ELISA,15,,,,,,,
AHAW VBD,9,"G. C. Gray, B. D. Anderson, A. D. LaBeaud, J.-M. Heraud, E. M. Fevre, S. F. Andriamandimby, E. A. J. Cook, S. Dahir, W. A. de Glanville, G. L. Heil, S. U. Khan, S. Muiruri, M.-M. Olive, L. F. Thomas, H. R. Merrill, M. L. M. Merrill and J. A. Richt. ""Seroepidemiological Study of Interepidemic Rift Valley Fever Virus Infection among Persons with Intense Ruminant Exposure in Madagascar and Kenya"". American Journal of Tropical Medicine and Hygiene 93 (2015): 1364-1370",,127 host (animal or human),Madagascar,,2012,Human,Blood serum,Rift Valley fever virus,IgG ELISA,8,,,,,,,
AHAW VBD,11,"N. A. Al-Hamdan, A. A. Panackal, T. H. Al Bassam, A. Alrabea, M. Al Hazmi, Y. Al Mazroa, M. Al Jefri, A. S. Khan and T. G. Ksiazek. ""The Risk of Nosocomial Transmission of Rift Valley Fever"". PLoS neglected tropical diseases 9 (2015): e0004314-e0004314",Hospital,730 host (animal or human),Saudi Arabia,Jizan,2000,Human,Blood serum,Rift Valley fever virus,IgG ELISA,4,,,,,,,
AHAW VBD,16,"H. Boshra, T. Thang, S. Babiuk and M. G. Hemida. ""Seroprevalence of Sheep and Goat Pox, Peste Des Petits Ruminants and Rift Valley Fever in Saudi Arabia"". Plos One 10 (2015): #pages#",Farm,58 host (animal or human),Saudi Arabia,Asir,2007,Sheep,Animal blood,Rift Valley fever virus,Virus neutralisation test (VNT),1,,,,,,,
AHAW VBD,16,"H. Boshra, T. Thang, S. Babiuk and M. G. Hemida. ""Seroprevalence of Sheep and Goat Pox, Peste Des Petits Ruminants and Rift Valley Fever in Saudi Arabia"". Plos One 10 (2015): #pages#",Farm,118 host (animal or human),Saudi Arabia,Al-Hasa,2007,Sheep,Animal blood,Rift Valley fever virus,Virus neutralisation test (VNT),0,,,,,,,
AHAW VBD,16,"H. Boshra, T. Thang, S. Babiuk and M. G. Hemida. ""Seroprevalence of Sheep and Goat Pox, Peste Des Petits Ruminants and Rift Valley Fever in Saudi Arabia"". Plos One 10 (2015): #pages#",Farm,509 host (animal or human),Saudi Arabia,Riyadh,2007,Sheep,Animal blood,Rift Valley fever virus,Virus neutralisation test (VNT),1,,,,,,,
AHAW VBD,31,"C. Ochieng, P. Ahenda, A. Y. Vittor, R. Nyoka, S. Gikunju, C. Wachira, L. Waiboci, M. Umuro, A. A. Kim, L. Nderitu, B. Juma, J. M. Montgomery, R. F. Breiman and B. Fields. ""Seroprevalence of Infections with Dengue, Rift Valley Fever and Chikungunya Viruses in Kenya, 2007"". Plos One 10 (2015): #pages#",Natural habitat,112 host (animal or human),Kenya,Rift Valley,2007,Human,Blood serum,Rift Valley fever virus,IgG ELISA,1,,,,,,,
AHAW VBD,31,"C. Ochieng, P. Ahenda, A. Y. Vittor, R. Nyoka, S. Gikunju, C. Wachira, L. Waiboci, M. Umuro, A. A. Kim, L. Nderitu, B. Juma, J. M. Montgomery, R. F. Breiman and B. Fields. ""Seroprevalence of Infections with Dengue, Rift Valley Fever and Chikungunya Viruses in Kenya, 2007"". Plos One 10 (2015): #pages#",Natural habitat,107 host (animal or human),Kenya,Eastern,2007,Human,Blood serum,Rift Valley fever virus,IgG ELISA,3,,,,,,,
AHAW VBD,31,"C. Ochieng, P. Ahenda, A. Y. Vittor, R. Nyoka, S. Gikunju, C. Wachira, L. Waiboci, M. Umuro, A. A. Kim, L. Nderitu, B. Juma, J. M. Montgomery, R. F. Breiman and B. Fields. ""Seroprevalence of Infections with Dengue, Rift Valley Fever and Chikungunya Viruses in Kenya, 2007"". Plos One 10 (2015): #pages#",Natural habitat,131 host (animal or human),Kenya,North Eastern,2007,Human,Blood serum,Rift Valley fever virus,IgG ELISA,28,,,,,,,
AHAW VBD,31,"C. Ochieng, P. Ahenda, A. Y. Vittor, R. Nyoka, S. Gikunju, C. Wachira, L. Waiboci, M. Umuro, A. A. Kim, L. Nderitu, B. Juma, J. M. Montgomery, R. F. Breiman and B. Fields. ""Seroprevalence of Infections with Dengue, Rift Valley Fever and Chikungunya Viruses in Kenya, 2007"". Plos One 10 (2015): #pages#",Natural habitat,144 host (animal or human),Kenya,Central,2007,Human,Blood serum,Rift Valley fever virus,IgG ELISA,6,,,,,,,
AHAW VBD,31,"C. Ochieng, P. Ahenda, A. Y. Vittor, R. Nyoka, S. Gikunju, C. Wachira, L. Waiboci, M. Umuro, A. A. Kim, L. Nderitu, B. Juma, J. M. Montgomery, R. F. Breiman and B. Fields. ""Seroprevalence of Infections with Dengue, Rift Valley Fever and Chikungunya Viruses in Kenya, 2007"". Plos One 10 (2015): #pages#",Natural habitat,125 host (animal or human),Kenya,Coast,2007,Human,Blood serum,Rift Valley fever virus,IgG ELISA,11,,,,,,,
AHAW VBD,31,"C. Ochieng, P. Ahenda, A. Y. Vittor, R. Nyoka, S. Gikunju, C. Wachira, L. Waiboci, M. Umuro, A. A. Kim, L. Nderitu, B. Juma, J. M. Montgomery, R. F. Breiman and B. Fields. ""Seroprevalence of Infections with Dengue, Rift Valley Fever and Chikungunya Viruses in Kenya, 2007"". Plos One 10 (2015): #pages#",Natural habitat,151 host (animal or human),Kenya,Nyanza,2007,Human,Blood serum,Rift Valley fever virus,IgG ELISA,4,,,,,,,
AHAW VBD,31,"C. Ochieng, P. Ahenda, A. Y. Vittor, R. Nyoka, S. Gikunju, C. Wachira, L. Waiboci, M. Umuro, A. A. Kim, L. Nderitu, B. Juma, J. M. Montgomery, R. F. Breiman and B. Fields. ""Seroprevalence of Infections with Dengue, Rift Valley Fever and Chikungunya Viruses in Kenya, 2007"". Plos One 10 (2015): #pages#",Natural habitat,151 host (animal or human),Kenya,Nairobi,2007,Human,Blood serum,Rift Valley fever virus,IgG ELISA,2,,,,,,,
AHAW VBD,31,"C. Ochieng, P. Ahenda, A. Y. Vittor, R. Nyoka, S. Gikunju, C. Wachira, L. Waiboci, M. Umuro, A. A. Kim, L. Nderitu, B. Juma, J. M. Montgomery, R. F. Breiman and B. Fields. ""Seroprevalence of Infections with Dengue, Rift Valley Fever and Chikungunya Viruses in Kenya, 2007"". Plos One 10 (2015): #pages#",Natural habitat,136 host (animal or human),Kenya,Western,2007,Human,Blood serum,Rift Valley fever virus,IgG ELISA,2,,,,,,,
AHAW VBD,53,"Z. A. Memish, M. A. Masri, B. D. Anderson, G. L. Heil, H. R. Merrill, S. U. Khan, A. Alsahly and G. C. Gray. ""Elevated Antibodies against Rift Valley Fever Virus among Humans with Exposure to Ruminants in Saudi Arabia"". American Journal of Tropical Medicine and Hygiene 92 (2015): 739-743",Other,350 host (animal or human),Saudi Arabia,Jizan,2000,Human,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),16,,,,,,,
AHAW VBD,64,"S. Muiruri, E. W. Kabiru, E. M. Muchiri, H. Hussein, F. Kagondu, A. D. LaBeaud and C. H. Kingt. ""Cross-Sectional Survey of Rift Valley Fever Virus Exposure in Bodhei Village Located in a Transitional Coastal Forest Habitat in Lamu County, Kenya"". American Journal of Tropical Medicine and Hygiene 92 (2015): 394-400",Household,211 host (animal or human),Kenya,Garissa,2006,Human,Blood serum,Rift Valley fever virus,Enzyme linked immunosorbent assay (ELISA),38,,,,,,,
AHAW VBD,65,"C. Tigoi, O. Lwande, B. Orindi, Z. Irura, J. Ongus and R. Sang. ""Seroepidemiology of Selected Arboviruses in Febrile Patients Visiting Selected Health Facilities in the Lake/River Basin Areas of Lake Baringo, Lake Naivasha, and Tana River, Kenya"". Vector-Borne and Zoonotic Diseases 15 (2015): 124-132",,117 host (animal or human),Kenya,Baringo,2009,Human,Blood serum,West Nile virus,IgG ELISA,6,,,,,,,
