"Refid","Bibliography","DOI.link","Alternative.Link"
35,"N. Alam, S. Sadhu and V. Lakshmi. \Studies on toxicity of some agricultural chemicals to tadpoles of frog, rana tigrina\"". Nature Environment and Pollution Technology 8 (2009): 151-156""","","http://www.neptjournal.com/upload-images/NL-6-26-(26)B-1208-151-15.pdf"
46,"S. K. Lee and D. N. R. Veeramachaneni. \Subchronic exposure to low concentrations of di-n-butyl phthalate disrupts spermatogenesis in Xenopus laevis frogs\"". Toxicological Sciences 84 (2005): 394-407""","http://dx.doi.org/10.1093/toxsci/kfi087","https://academic.oup.com/toxsci/article-pdf/84/2/394/16693949/kfi087.pdf"
85,"C. S. Pérez-Coll and J. Herkovits. \Synergistic effects of copper and butylic ester of 2,4- dichlorophenoxyacetic acid (Esternon Ultra) on amphibian embryos\"". International Journal of Environmental Research and Public Health 3 (2006): 343-347""","http://dx.doi.org/10.3390/ijerph2006030044","http://www.mdpi.com/1660-4601/3/4/343/pdf"
130,"C. A. Brühl, T. Schmidt, S. Pieper and A. Alscher. \Terrestrial pesticide exposure of amphibians: An underestimated cause of global decline?\"". Scientific Reports 3 (2013): #pages#""","http://dx.doi.org/10.1038/srep01135","https://www.nature.com/articles/srep01135.pdf"
212,"A. Boǧa, S. Binokay and Y. Sertdemir. \The toxicity and teratogenicity of gibberellic acid (GA3) based on the frog embryo teratogenesis assay-Xenopus (FETAX)\"". Turkish Journal of Biology 33 (2009): 181-188""","http://dx.doi.org/10.3906/biy-0807-30","http://dergipark.gov.tr/download/article-file/121289"
213,"L. M. Henao Muñoz, T. M. Triana Velásquez and M. H. Bernal Bautista. \Toxicity assesment of two agrochemicals, roundup® active and cosmo-flux® 411f, to Colombian anuran tadpoles\"". Acta Biológica Colombiana 20 (2015): 153-161""","http://dx.doi.org/10.15446/abc.v20n2.43492","https://revistas.unal.edu.co/index.php/actabiol/article/download/43492/pdf_30"
248,"E. A. Paul and H. A. Simonin. \Toxicity of diquat and endothall to eastern spiny softshell turtles (Apalone spinifera spinifera)\"". Journal of Aquatic Plant Management 45 (2007): 52-54""","","https://www.apms.org/wp/wp-content/uploads/2007/12/v45p52.pdf"
329,"F. Sayim. \Toxicity of trifluralin on the embryos and larvae of the red-bellied toad, Bombina bombina\"". Turkish Journal of Zoology 34 (2010): 479-486""","http://dx.doi.org/10.3906/zoo-0811-21","http://dergipark.gov.tr/download/article-file/134655"
454,"S. M. Hanlon, J. L. Kerby and M. J. Parris. \Unlikely Remedy: Fungicide Clears Infection from Pathogenic Fungus in Larval Southern Leopard Frogs (Lithobates sphenocephalus)\"". PLoS One 7 (2012): #pages#""","http://dx.doi.org/10.1371/journal.pone.0043573","http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0043573&type=printable"
624,"S. M. Gallo-Delgado, J. A. Palacio-Baena and P. D. A. Gutierrez. \Effects of insecticide chlorpyrifos on growth rate and metamorphosis of Smilisca phaeota\"". Actualidades Biologicas 28 (2006): 51-58""","","https://aprendeenlinea.udea.edu.co/revistas/index.php/actbio/article/download/329408/20785867"
